SpeciesNum,CommonName,SciName,Length,Wingspan,Size_0to1,Incidence0to1_cur,IncidenceChangeCategory_lo,IncidenceChangeCategory_hi,PrevalenceScore_cur,PrevalenceScore_lo,PrevalenceScore_hi,ChangeInMeanCtrNeg1to1_lo,ChangeInMeanCtrNeg1to1_hi
3870,   Yellow-billed Cuckoo,   Coccyzus americanus,11,,0.152777778,0.18,3.00,3.00,17.83,35.74,70.33,-0.705831566,-0.352260561
5630,   Field Sparrow,   Spizella pusilla,5,,0.069444444,0.23,3.00,3.00,23.02,56.90,66.60,-0.75803919,-0.687911169
6410,   Blue-winged Warbler,   Vermivora pinus,4.25,,0.059027778,0.01,3.00,3.00,1.14,2.82,5.30,-0.580935653,-0.653693677
5930,   Northern Cardinal,   Cardinalis cardinalis,7.75,,0.107638889,0.19,3.00,3.00,19.44,50.69,62.85,-0.807744121,-0.73718357
2890,   Northern Bobwhite,   Colinus virginianus,8,,0.111111111,0.02,3.00,3.00,1.88,33.18,76.20,-0.677925468,-0.309541363
3250,   Turkey Vulture,   Cathartes aura,25,72,1,0.01,3.00,3.00,1.31,6.99,34.50,-0.786490621,-0.414034506
4090,   Red-bellied Woodpecker,   Melanerpes carolinus,8.5,,0.118055556,0.10,3.00,3.00,10.16,34.04,49.00,-0.677837614,-0.429714286
4650,   Acadian Flycatcher,   Empidonax virescens,4.75,,0.065972222,-99.00,3.00,3.00,0.00,0.74,10.44,-0.641817036,-0.162780909
5190,   House Finch,   Carpodacus mexicanus,5.25,,0.072916667,0.00,3.00,3.00,0.18,1.10,7.30,-0.712068987,0.206155778
5970,   Blue Grosbeak,   Guiraca caerulea,6.25,,0.086805556,0.02,3.00,3.00,1.53,10.16,42.25,-0.665867536,-0.14758934
6100,   Summer Tanager,   Piranga rubra,6.5,,0.090277778,-99.00,3.00,3.00,0.00,0.16,18.37,-0.6406629,-0.106310992
6220,   Loggerhead Shrike,   Lanius ludovicianus,7,,0.097222222,0.00,3.00,3.00,0.41,7.71,61.09,-0.498392226,0.226060705
6310,   White-eyed Vireo,   Vireo griseus,6,,0.083333333,-99.00,3.00,3.00,0.00,0.18,8.38,-0.771247705,-0.439189418
6370,   Prothonotary Warbler,   Protonotaria citrea,4.75,,0.065972222,0.00,3.00,3.00,0.02,0.06,6.95,-0.654687049,-0.066523247
6390,   Worm-eating Warbler,   Helmitheros vermivorus,4.5,,0.0625,-99.00,3.00,3.00,0.00,0.02,0.96,-0.904902547,-0.585161271
6580,   Cerulean Warbler,   Dendroica cerulea,4,,0.055555556,0.00,3.00,3.00,0.02,0.10,3.08,-0.59548666,-0.233514132
6770,   Kentucky Warbler,   Oporornis formosus,4.5,,0.0625,-99.00,3.00,3.00,0.00,0.23,10.11,-0.695133575,-0.228749348
6830,   Yellow-breasted Chat,   Icteria virens,6.25,,0.086805556,-99.00,3.00,3.00,0.00,1.78,18.86,-0.652814351,-0.220031696
6840,   Hooded Warbler,   Wilsonia citrina,4.5,,0.0625,-99.00,3.00,3.00,0.00,0.12,3.51,-0.882132853,-0.671860867
7030,   Northern Mockingbird,   Mimus polyglottos,9,,0.125,0.00,3.00,3.00,0.02,3.27,41.50,-0.738852198,-0.447458586
7180,   Carolina Wren,   Thryothorus ludovicianus,4.75,,0.065972222,-99.00,3.00,3.00,0.00,0.08,10.38,-0.723450012,-0.425644837
7310,   Tufted Titmouse,   Baeolophus bicolor,5,,0.069444444,0.00,3.00,3.00,0.25,9.81,34.75,-0.706793349,-0.495601331
7510,   Blue-gray Gnatcatcher,   Polioptila caerulea,4,,0.055555556,0.01,3.00,3.00,1.27,6.38,26.43,-0.700789976,-0.35326523
